iteration,best_fitness
0,40.975472147476246
1,22.247533059048493
2,15.24557708537048
3,12.630320504268045
4,7.761178758734575
5,7.077739805013184
6,3.7942635425780145
7,3.7942635425780145
8,3.7942635425780145
9,3.7942635425780145
10,3.7942635425780145
11,3.094141043952424
12,2.334791684359832
13,2.334791684359832
14,2.220417658308378
15,1.7148660858828726
16,1.3594805732734094
17,1.3594805732734094
18,1.1023763302352676
19,1.1023763302352676
20,1.073374942392298
21,1.073374942392298
22,1.073374942392298
23,0.809416121435183
24,0.809416121435183
25,0.5189767944051932
26,0.30459235749577224
27,0.30459235749577224
28,0.24732557791063722
29,0.18817009818598443
30,0.18817009818598443
31,0.18817009818598443
32,0.11033319977213636
33,0.07579149317483336
34,0.04909773532325251
35,0.04909773532325251
36,0.04909773532325251
37,0.03930300551812228
38,0.028236355163288086
39,0.028236355163288086
40,0.028236355163288086
41,0.027723744667792365
42,0.027723744667792365
43,0.02508864870897173
44,0.018782854754912107
45,0.018782854754912107
46,0.018545238547684594
47,0.014403502164835123
48,0.012460921004842302
49,0.012460921004842302
50,0.011136601619874648
51,0.011136601619874648
52,0.008361716260610821
53,0.004893520366852086
54,0.0032321304328676408
55,0.0022931462098191046
56,0.0020496529550485445
57,0.0020496529550485445
58,0.0020312555097374584
59,0.0018619560787721196
60,0.0018619560787721196
61,0.0016882289960086256
62,0.0016674915902451795
63,0.0016674915902451795
64,0.0014948416290780642
65,0.00123970717594834
66,0.0011128408463979202
67,0.0008533855131376204
68,0.0008533855131376204
69,0.0008533855131376204
70,0.0008533855131376204
71,0.0007785331484282405
72,0.0007785331484282405
73,0.0007785331484282405
74,0.0007174551885428024
75,0.0006445765545092235
76,0.0004787539485070951
77,0.0004239111523016776
78,0.0004239111523016776
79,0.00042192742614071397
80,0.00040884784247512666
81,0.0003462850033533365
82,0.0003462850033533365
83,0.0003462850033533365
84,0.0003462850033533365
85,0.0002987442716182625
86,0.00021187424448645525
87,0.0001645354344493828
88,0.000162144605968522
89,0.000162144605968522
90,6.0480869596924285e-05
91,5.551966854065378e-05
92,5.551966854065378e-05
93,5.551966854065378e-05
94,5.551966854065378e-05
95,5.3101196751360625e-05
96,3.613294006085294e-05
97,3.613294006085294e-05
98,2.9415570626417227e-05
99,2.908042253562876e-05
100,1.2620182359726279e-05
101,1.2620182359726279e-05
102,6.976261539190135e-06
103,6.976261539190135e-06
104,6.976261539190135e-06
105,6.976261539190135e-06
106,6.5642373612778786e-06
107,6.5642373612778786e-06
108,6.5642373612778786e-06
109,6.5642373612778786e-06
110,6.5642373612778786e-06
111,6.5642373612778786e-06
112,5.229149901558712e-06
113,4.6020343286704284e-06
114,2.6257190078791907e-06
115,2.50976239224059e-06
116,2.50976239224059e-06
117,2.2884623287869926e-06
118,1.7379110130105305e-06
119,1.7379110130105305e-06
120,1.7379110130105305e-06
121,5.746383030269355e-07
122,5.746383030269355e-07
123,5.746383030269355e-07
124,5.746383030269355e-07
125,5.746383030269355e-07
126,5.746383030269355e-07
127,4.7087989270627997e-07
128,2.7498040841655994e-07
129,2.507410171936223e-07
130,2.507410171936223e-07
131,2.507410171936223e-07
132,2.507410171936223e-07
133,2.4051864710608865e-07
134,2.099790173434635e-07
135,1.6213287154854608e-07
136,1.6016330442470464e-07
137,1.0957455973821236e-07
138,1.0733625871725552e-07
139,8.726206756723423e-08
140,8.726206756723423e-08
141,7.938803191004018e-08
142,7.938803191004018e-08
143,7.130205862731231e-08
144,6.198146610005079e-08
145,6.198146610005079e-08
146,6.198146610005079e-08
147,6.198146610005079e-08
148,4.230499060561663e-08
149,4.230499060561663e-08
150,2.9297371476940503e-08
151,2.9297371476940503e-08
152,2.9297371476940503e-08
153,2.181714017079436e-08
154,1.4572539900329173e-08
155,1.159431946228897e-08
156,1.159431946228897e-08
157,8.591901481061447e-09
158,8.591901481061447e-09
159,5.160584757342234e-09
160,4.355057854237196e-09
161,4.355057854237196e-09
162,4.355057854237196e-09
163,4.355057854237196e-09
164,4.355057854237196e-09
165,2.6728732856072082e-09
166,2.5874360681976934e-09
167,2.5874360681976934e-09
168,2.424710917756299e-09
169,1.498925332120484e-09
170,1.498925332120484e-09
171,1.498925332120484e-09
172,1.498925332120484e-09
173,1.2443152160743897e-09
174,1.2443152160743897e-09
175,1.0610274486580707e-09
176,1.0610274486580707e-09
177,1.0610274486580707e-09
178,8.792728171844258e-10
179,8.187186186504329e-10
180,8.187186186504329e-10
181,8.187186186504329e-10
182,8.187186186504329e-10
183,4.887041302568123e-10
184,4.887041302568123e-10
185,4.887041302568123e-10
186,4.3453142588258014e-10
187,2.9851495659166206e-10
188,2.9851495659166206e-10
189,2.525300511837129e-10
190,2.525300511837129e-10
191,2.0879988929218118e-10
192,1.6581472544214818e-10
193,9.889370105481234e-11
194,8.259868142420144e-11
195,7.194901788828421e-11
196,7.194901788828421e-11
197,7.194901788828421e-11
198,3.704315945055848e-11
199,3.704315945055848e-11
200,3.704315945055848e-11
