iteration,best_fitness
0,7.07175174747463
1,1.18549532550217
2,0.5252831987117584
3,0.5252831987117584
4,0.4441247635838465
5,0.29540429237155874
6,0.29540429237155874
7,0.021047244396421732
8,0.021047244396421732
9,0.021047244396421732
10,0.021047244396421732
11,0.021047244396421732
12,0.021047244396421732
13,0.021047244396421732
14,0.021047244396421732
15,0.021047244396421732
16,0.016438767670725593
17,0.016438767670725593
18,0.016438767670725593
19,0.015632143923401037
20,0.015632143923401037
21,0.015632143923401037
22,0.015632143923401037
23,0.015632143923401037
24,0.015632143923401037
25,0.015632143923401037
26,0.015632143923401037
27,0.015632143923401037
28,0.015632143923401037
29,0.015632143923401037
30,0.015632143923401037
31,0.015632143923401037
32,0.015632143923401037
33,0.015632143923401037
34,0.015632143923401037
35,0.015632143923401037
36,0.015632143923401037
37,0.00486599073082648
38,0.00486599073082648
39,0.00486599073082648
40,0.00486599073082648
41,4.924687931114821e-05
42,4.924687931114821e-05
43,4.924687931114821e-05
44,4.924687931114821e-05
45,4.924687931114821e-05
46,4.924687931114821e-05
47,4.924687931114821e-05
48,4.924687931114821e-05
49,4.924687931114821e-05
50,4.924687931114821e-05
51,4.924687931114821e-05
52,4.924687931114821e-05
53,4.924687931114821e-05
54,4.924687931114821e-05
55,4.924687931114821e-05
56,4.924687931114821e-05
57,4.924687931114821e-05
58,4.924687931114821e-05
59,4.924687931114821e-05
60,4.924687931114821e-05
61,4.924687931114821e-05
62,4.924687931114821e-05
63,4.924687931114821e-05
64,4.924687931114821e-05
65,4.924687931114821e-05
66,4.924687931114821e-05
67,4.924687931114821e-05
68,4.924687931114821e-05
69,3.408904466229691e-05
70,3.408904466229691e-05
71,1.5675249022039966e-05
72,1.5675249022039966e-05
73,1.5675249022039966e-05
74,1.5675249022039966e-05
75,1.385031253542824e-05
76,1.385031253542824e-05
77,1.385031253542824e-05
78,1.385031253542824e-05
79,1.385031253542824e-05
80,1.2275490547054024e-05
81,1.2275490547054024e-05
82,1.2275490547054024e-05
83,1.2275490547054024e-05
84,1.2275490547054024e-05
85,1.2275490547054024e-05
86,1.2275490547054024e-05
87,1.2275490547054024e-05
88,1.2275490547054024e-05
89,1.2275490547054024e-05
90,1.2275490547054024e-05
91,1.2275490547054024e-05
92,1.2275490547054024e-05
93,1.2275490547054024e-05
94,1.2275490547054024e-05
95,1.2275490547054024e-05
96,1.2275490547054024e-05
97,1.2275490547054024e-05
98,1.2275490547054024e-05
99,1.2275490547054024e-05
100,1.2275490547054024e-05
101,1.0416463592444484e-05
102,1.9071059584481915e-06
103,1.9071059584481915e-06
104,1.139786370862671e-06
105,1.139786370862671e-06
106,1.139786370862671e-06
107,1.139786370862671e-06
108,1.139786370862671e-06
109,1.139786370862671e-06
110,1.139786370862671e-06
111,1.139786370862671e-06
112,1.139786370862671e-06
113,1.139786370862671e-06
114,1.139786370862671e-06
115,1.139786370862671e-06
116,1.139786370862671e-06
117,1.139786370862671e-06
118,1.139786370862671e-06
119,1.139786370862671e-06
120,1.139786370862671e-06
121,1.139786370862671e-06
122,1.139786370862671e-06
123,1.139786370862671e-06
124,1.139786370862671e-06
125,4.91307037914102e-07
126,4.91307037914102e-07
127,4.91307037914102e-07
128,4.91307037914102e-07
129,4.91307037914102e-07
130,4.91307037914102e-07
131,4.91307037914102e-07
132,9.5046832512428e-08
133,9.5046832512428e-08
134,9.5046832512428e-08
135,9.5046832512428e-08
136,9.5046832512428e-08
137,9.5046832512428e-08
138,9.5046832512428e-08
139,9.5046832512428e-08
140,9.5046832512428e-08
141,9.5046832512428e-08
142,9.5046832512428e-08
143,9.5046832512428e-08
144,9.5046832512428e-08
145,9.5046832512428e-08
146,9.5046832512428e-08
147,9.5046832512428e-08
148,9.5046832512428e-08
149,9.5046832512428e-08
150,3.92411607069118e-08
151,3.92411607069118e-08
152,3.92411607069118e-08
153,3.92411607069118e-08
154,3.92411607069118e-08
155,3.92411607069118e-08
156,3.92411607069118e-08
157,3.92411607069118e-08
158,3.92411607069118e-08
159,3.92411607069118e-08
160,3.92411607069118e-08
161,3.92411607069118e-08
162,3.92411607069118e-08
163,3.92411607069118e-08
164,3.92411607069118e-08
165,3.92411607069118e-08
166,3.92411607069118e-08
167,3.92411607069118e-08
168,3.771651128786152e-08
169,3.771651128786152e-08
170,3.771651128786152e-08
171,1.3560120258821476e-08
172,1.3560120258821476e-08
173,1.3560120258821476e-08
174,1.3560120258821476e-08
175,1.3560120258821476e-08
176,1.3560120258821476e-08
177,1.3560120258821476e-08
178,1.3560120258821476e-08
179,1.3560120258821476e-08
180,2.769916404251156e-09
181,2.769916404251156e-09
182,2.769916404251156e-09
183,2.769916404251156e-09
184,2.769916404251156e-09
185,2.769916404251156e-09
186,2.769916404251156e-09
187,2.769916404251156e-09
188,2.769916404251156e-09
189,2.769916404251156e-09
190,2.769916404251156e-09
191,2.769916404251156e-09
192,2.769916404251156e-09
193,2.769916404251156e-09
194,2.1709503305395437e-09
195,2.1709503305395437e-09
196,2.1709503305395437e-09
197,2.1709503305395437e-09
198,2.1709503305395437e-09
199,2.0865620616489303e-09
200,2.0865620616489303e-09
201,2.0865620616489303e-09
202,2.0865620616489303e-09
203,2.0865620616489303e-09
204,2.0008093417169145e-09
205,2.0008093417169145e-09
206,2.0008093417169145e-09
207,2.0008093417169145e-09
208,2.0008093417169145e-09
209,2.0008093417169145e-09
210,2.0008093417169145e-09
211,1.998645930527032e-09
212,1.998645930527032e-09
213,1.998645930527032e-09
214,1.998645930527032e-09
215,1.9581644501159053e-09
216,1.9581644501159053e-09
217,1.9581644501159053e-09
218,1.9581644501159053e-09
219,1.9581644501159053e-09
220,1.7266454550247235e-09
221,1.7266454550247235e-09
222,6.404785982430772e-11
223,6.404785982430772e-11
224,6.404785982430772e-11
225,6.404785982430772e-11
226,6.404785982430772e-11
227,6.404785982430772e-11
228,6.404785982430772e-11
229,6.404785982430772e-11
230,6.404785982430772e-11
