iteration,best_fitness
0,10.86865787413032
1,10.86865787413032
2,4.233288747913228
3,4.233288747913228
4,4.233288747913228
5,4.233288747913228
6,4.233288747913228
7,1.9369203637954624
8,1.9369203637954624
9,1.9369203637954624
10,1.9369203637954624
11,1.9369203637954624
12,1.9369203637954624
13,1.680900488977898
14,1.680900488977898
15,1.680900488977898
16,0.16102802782402081
17,0.16102802782402081
18,0.16102802782402081
19,0.16102802782402081
20,0.16102802782402081
21,0.16102802782402081
22,0.16102802782402081
23,0.0779808103859918
24,0.0779808103859918
25,0.0779808103859918
26,0.0779808103859918
27,0.0779808103859918
28,0.0779808103859918
29,0.0779808103859918
30,0.03458301790759366
31,0.03458301790759366
32,0.03458301790759366
33,0.03458301790759366
34,0.03458301790759366
35,0.024464308957668823
36,0.024464308957668823
37,0.024464308957668823
38,0.024464308957668823
39,0.024464308957668823
40,0.024464308957668823
41,0.024464308957668823
42,0.013471130773727413
43,0.013471130773727413
44,0.013471130773727413
45,0.013471130773727413
46,0.013471130773727413
47,0.013471130773727413
48,0.013471130773727413
49,0.009709281452181973
50,0.008101266442534172
51,0.008101266442534172
52,0.005096854052081046
53,0.004440805215538024
54,0.004440805215538024
55,0.004440805215538024
56,0.004440805215538024
57,0.0018245205466276282
58,0.0018245205466276282
59,0.0018245205466276282
60,0.0018245205466276282
61,0.001293289974754419
62,0.0010670525942342302
63,0.0010670525942342302
64,0.0006054566132580597
65,0.0006054566132580597
66,0.0006054566132580597
67,0.0006054566132580597
68,0.0006054566132580597
69,0.0006054566132580597
70,0.0004371493413626304
71,0.00019454394379936346
72,9.099693165426359e-05
73,9.099693165426359e-05
74,9.099693165426359e-05
75,9.099693165426359e-05
76,9.099693165426359e-05
77,9.099693165426359e-05
78,7.977153797655845e-05
79,7.977153797655845e-05
80,7.977153797655845e-05
81,7.977153797655845e-05
82,7.977153797655845e-05
83,7.977153797655845e-05
84,7.977153797655845e-05
85,7.977153797655845e-05
86,7.470268229470278e-05
87,7.354754815880327e-05
88,6.235248963948337e-05
89,4.2829538678734735e-05
90,4.2829538678734735e-05
91,3.708525201817636e-05
92,3.708525201817636e-05
93,3.708525201817636e-05
94,2.9887073623502403e-05
95,2.5876248380019007e-05
96,1.2118268032157431e-05
97,6.617556465915442e-06
98,6.617556465915442e-06
99,6.617556465915442e-06
100,6.617556465915442e-06
101,6.617556465915442e-06
102,6.617556465915442e-06
103,6.617556465915442e-06
104,6.617556465915442e-06
105,6.035229109802032e-06
106,6.035229109802032e-06
107,3.6162266252581787e-06
108,3.6162266252581787e-06
109,1.7985355076355347e-06
110,1.7985355076355347e-06
111,1.7985355076355347e-06
112,1.7985355076355347e-06
113,1.6153170752097878e-06
114,1.6153170752097878e-06
115,1.6153170752097878e-06
116,1.6153170752097878e-06
117,1.6153170752097878e-06
118,1.0804143397713517e-06
119,1.0804143397713517e-06
120,6.015720015462023e-07
121,6.015720015462023e-07
122,6.015720015462023e-07
123,4.677211475900833e-07
124,1.5502866945737992e-07
125,1.5502866945737992e-07
126,1.5502866945737992e-07
127,1.5502866945737992e-07
128,1.5502866945737992e-07
129,1.5502866945737992e-07
130,1.5502866945737992e-07
131,1.5502866945737992e-07
132,1.5502866945737992e-07
133,1.5502866945737992e-07
134,1.5502866945737992e-07
135,1.5502866945737992e-07
136,1.5502866945737992e-07
137,1.5502866945737992e-07
138,1.5502866945737992e-07
139,1.5502866945737992e-07
140,1.5502866945737992e-07
141,1.5502866945737992e-07
142,1.5502866945737992e-07
143,1.5502866945737992e-07
144,1.5502866945737992e-07
145,1.5502866945737992e-07
146,1.5502866945737992e-07
147,1.5502866945737992e-07
148,1.1138611144545507e-07
149,6.232403082506721e-08
150,6.232403082506721e-08
151,6.232403082506721e-08
152,6.232403082506721e-08
153,1.3722069258648162e-08
154,1.3722069258648162e-08
155,1.3722069258648162e-08
156,1.3722069258648162e-08
157,1.3722069258648162e-08
158,1.3722069258648162e-08
159,1.3722069258648162e-08
160,1.3722069258648162e-08
161,1.3722069258648162e-08
162,1.3722069258648162e-08
163,1.3722069258648162e-08
164,8.609792434555175e-09
165,8.609792434555175e-09
166,8.609792434555175e-09
167,8.609792434555175e-09
168,7.870277318744456e-09
169,7.870277318744456e-09
170,5.981274586730478e-09
171,5.981274586730478e-09
172,5.981274586730478e-09
173,5.981274586730478e-09
174,4.132069353346424e-09
175,3.1620932539055957e-09
176,3.1620932539055957e-09
177,2.1585901954779274e-09
178,2.1585901954779274e-09
179,3.989595320774697e-10
180,3.989595320774697e-10
181,3.989595320774697e-10
182,3.989595320774697e-10
183,3.989595320774697e-10
184,3.989595320774697e-10
185,3.989595320774697e-10
186,3.989595320774697e-10
187,3.989595320774697e-10
188,1.4627277167278407e-10
189,1.4627277167278407e-10
190,1.4627277167278407e-10
191,1.2285683581580997e-10
192,1.2285683581580997e-10
193,1.2285683581580997e-10
194,1.2285683581580997e-10
195,1.2285683581580997e-10
196,1.2285683581580997e-10
197,1.2285683581580997e-10
198,1.2285683581580997e-10
199,1.2285683581580997e-10
200,1.0051026677615482e-10
201,1.0051026677615482e-10
202,1.0051026677615482e-10
203,1.0051026677615482e-10
