iteration,best_fitness
0,0.9238690311323027
1,0.0015726416690862027
2,0.0015726416690862027
3,0.0015726416690862027
4,0.0015726416690862027
5,0.0015726416690862027
6,0.0015726416690862027
7,0.0015726416690862027
8,0.0015726416690862027
9,0.0015726416690862027
10,0.0015726416690862027
11,0.0015726416690862027
12,0.0015726416690862027
13,0.0015726416690862027
14,0.0015726416690862027
15,0.0015726416690862027
16,0.0015726416690862027
17,0.0015726416690862027
18,0.0015726416690862027
19,0.0015726416690862027
20,0.0012159703257219698
21,0.0012159703257219698
22,0.0012159703257219698
23,0.0012159703257219698
24,0.0012159703257219698
25,0.0012159703257219698
26,0.0012159703257219698
27,0.0012159703257219698
28,0.0012159703257219698
29,0.0012159703257219698
30,0.0011638557927022425
31,0.0011638557927022425
32,0.0011365903449897154
33,0.0011365903449897154
34,0.0011365903449897154
35,0.0011365903449897154
36,0.0006337604703543485
37,0.0006337604703543485
38,0.00022565655072757134
39,0.00022565655072757134
40,0.00020699626231962705
41,0.00020699626231962705
42,0.00020699626231962705
43,0.00019449343206642394
44,0.00019449343206642394
45,0.00019449343206642394
46,0.00019449343206642394
47,0.00019449343206642394
48,0.00019449343206642394
49,0.00019449343206642394
50,1.604862994126534e-05
51,1.604862994126534e-05
52,1.604862994126534e-05
53,1.604862994126534e-05
54,1.604862994126534e-05
55,1.604862994126534e-05
56,1.604862994126534e-05
57,1.604862994126534e-05
58,1.604862994126534e-05
59,1.604862994126534e-05
60,1.604862994126534e-05
61,1.604862994126534e-05
62,1.604862994126534e-05
63,7.139272726606537e-06
64,7.139272726606537e-06
65,1.7613827750444282e-06
66,1.7613827750444282e-06
67,1.7613827750444282e-06
68,1.7613827750444282e-06
69,1.7613827750444282e-06
70,1.7613827750444282e-06
71,1.7613827750444282e-06
72,1.7613827750444282e-06
73,1.7613827750444282e-06
74,1.7613827750444282e-06
75,1.7455739170011513e-06
76,1.7455739170011513e-06
77,1.6917605551223844e-06
78,1.6917605551223844e-06
79,1.6917605551223844e-06
80,1.6917605551223844e-06
81,1.6917605551223844e-06
82,1.6917605551223844e-06
83,1.6917605551223844e-06
84,1.6870787637990981e-06
85,1.3791641626133197e-06
86,1.3791641626133197e-06
87,4.067142113075381e-07
88,4.067142113075381e-07
89,4.067142113075381e-07
90,4.067142113075381e-07
91,4.067142113075381e-07
92,4.067142113075381e-07
93,4.067142113075381e-07
94,4.067142113075381e-07
95,4.067142113075381e-07
96,4.067142113075381e-07
97,4.067142113075381e-07
98,4.067142113075381e-07
99,4.067142113075381e-07
100,4.067142113075381e-07
101,2.5811107947368065e-07
102,2.5811107947368065e-07
103,2.5811107947368065e-07
104,2.5811107947368065e-07
105,1.98152738703631e-07
106,1.2293239810274088e-07
107,1.2293239810274088e-07
108,6.072508832762776e-08
109,6.045118416909858e-08
110,6.045118416909858e-08
111,6.045118416909858e-08
112,6.045118416909858e-08
113,6.045118416909858e-08
114,1.2419550269027789e-08
115,1.2419550269027789e-08
116,1.2419550269027789e-08
117,1.2419550269027789e-08
118,1.2419550269027789e-08
119,1.2419550269027789e-08
120,1.2419550269027789e-08
121,1.2419550269027789e-08
122,1.2419550269027789e-08
123,1.2419550269027789e-08
124,1.2419550269027789e-08
125,1.2419550269027789e-08
126,1.2419550269027789e-08
127,1.2419550269027789e-08
128,1.1920135937793367e-08
129,1.1920135937793367e-08
130,1.1571380459470306e-08
131,1.1571380459470306e-08
132,1.1571380459470306e-08
133,1.1571380459470306e-08
134,1.1571380459470306e-08
135,1.1571380459470306e-08
136,1.037922896065331e-08
137,1.037922896065331e-08
138,1.0351845375286574e-08
139,1.0351845375286574e-08
140,1.0351845375286574e-08
141,1.0351845375286574e-08
142,9.825896182447247e-09
143,9.825896182447247e-09
144,9.591786395612719e-09
145,9.591786395612719e-09
146,9.591786395612719e-09
147,9.591786395612719e-09
148,9.077049467198904e-09
149,8.537489848057109e-09
150,8.517974146127873e-09
151,6.3602909745293856e-09
152,6.3602909745293856e-09
153,6.3602909745293856e-09
154,6.3602909745293856e-09
155,6.243661188170112e-09
156,5.909577143232495e-09
157,5.692183787124633e-09
158,5.590470380951969e-09
159,5.5300458335408365e-09
160,5.501809797888199e-09
161,5.488934568234263e-09
162,5.2390083965434504e-09
163,5.2390083965434504e-09
164,5.09203116419122e-09
