iteration,best_fitness
0,0.7213162472597124
1,0.7213162472597124
2,0.03260460594348034
3,0.03260460594348034
4,0.03260460594348034
5,0.03260460594348034
6,0.03260460594348034
7,0.0017590404991059188
8,0.0017590404991059188
9,0.0017590404991059188
10,0.0017590404991059188
11,0.0017590404991059188
12,0.0017590404991059188
13,0.0013803097806311855
14,0.0013803097806311855
15,0.0013803097806311855
16,0.0013803097806311855
17,0.0009766769189700616
18,0.0009766769189700616
19,0.0009766769189700616
20,0.0009766769189700616
21,0.0007703760090963844
22,0.00022100760634421722
23,3.2810563744918456e-05
24,3.2810563744918456e-05
25,3.2810563744918456e-05
26,3.2810563744918456e-05
27,3.2810563744918456e-05
28,3.2810563744918456e-05
29,3.2810563744918456e-05
30,3.2810563744918456e-05
31,2.3916899405077456e-05
32,2.3916899405077456e-05
33,4.24792279384765e-06
34,4.24792279384765e-06
35,4.24792279384765e-06
36,4.24792279384765e-06
37,1.2241442744177007e-06
38,1.2241442744177007e-06
39,1.2241442744177007e-06
40,1.2241442744177007e-06
41,4.928918281623146e-07
42,3.8336100497051595e-07
43,3.8336100497051595e-07
44,2.697260155977199e-07
45,2.697260155977199e-07
46,2.697260155977199e-07
47,2.697260155977199e-07
48,2.697260155977199e-07
49,2.697260155977199e-07
50,2.697260155977199e-07
51,2.697260155977199e-07
52,2.697260155977199e-07
53,2.697260155977199e-07
54,2.697260155977199e-07
55,3.77214217898713e-08
56,3.77214217898713e-08
57,3.77214217898713e-08
58,2.950911312646627e-09
59,2.950911312646627e-09
60,2.950911312646627e-09
61,2.950911312646627e-09
62,2.950911312646627e-09
63,2.950911312646627e-09
64,2.950911312646627e-09
65,2.950911312646627e-09
66,2.950911312646627e-09
67,2.950911312646627e-09
68,2.950911312646627e-09
69,2.950911312646627e-09
70,2.950911312646627e-09
71,2.3165634867711238e-09
72,2.3165634867711238e-09
73,2.3165634867711238e-09
74,1.591038486516817e-09
75,1.591038486516817e-09
76,1.591038486516817e-09
77,8.758873234281256e-10
78,8.758873234281256e-10
79,8.758873234281256e-10
80,8.758873234281256e-10
81,8.758873234281256e-10
82,1.2816500808639808e-10
83,1.2816500808639808e-10
84,1.2816500808639808e-10
85,1.2816500808639808e-10
86,5.5872633215550664e-11
87,5.5872633215550664e-11
88,4.589313040195355e-11
89,4.343364440602365e-11
90,4.084422888409683e-11
91,4.084422888409683e-11
92,3.924797889619009e-11
93,3.924797889619009e-11
94,3.9147218214477385e-11
95,2.2745781987774024e-12
96,2.2745781987774024e-12
97,2.2745781987774024e-12
98,2.2745781987774024e-12
99,2.2745781987774024e-12
100,4.309391456918587e-13
101,1.661590636340274e-13
102,1.661590636340274e-13
103,1.661590636340274e-13
104,1.0826797015568e-13
105,1.0826797015568e-13
106,1.9217238454025026e-14
107,1.9217238454025026e-14
108,1.9217238454025026e-14
